Test (3B): leader backs up quickly over incorrect follower logs ...
[0:1] match:[0 0 0 0 0] next:[1 1 1 1 1]
[0:1] match:[1 0 0 0 0] next:[2 1 1 1 1]
[0:1] match:[1 1 1 1 1] next:[2 2 2 2 2]
[0:1] match:[1 1 1 1 1] next:[2 2 2 2 2]
[0:1] match:[1 1 1 1 1] next:[2 2 2 2 2]
[0:1] match:[1 1 1 1 1] next:[2 2 2 2 2]
[0:1] match:[1 1 1 1 1] next:[2 2 2 2 2]
[0:1] match:[51 1 1 1 1] next:[52 2 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 0 0 0] next:[2 2 2 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 2 1 1] next:[2 2 3 2 2]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 2 2 2] next:[2 2 3 3 3]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 3 2 2] next:[2 2 4 3 3]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 3 3 3] next:[2 2 4 4 4]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 4 3 3] next:[2 2 5 4 4]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 4 4 4] next:[2 2 5 5 5]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 5 4 4] next:[2 2 6 5 5]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 5 5 5] next:[2 2 6 6 6]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 6 5 5] next:[2 2 7 6 6]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 6 6 6] next:[2 2 7 7 7]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 7 6 6] next:[2 2 8 7 7]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 7 7 7] next:[2 2 8 8 8]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 8 7 7] next:[2 2 9 8 8]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 8 8 8] next:[2 2 9 9 9]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 9 8 8] next:[2 2 10 9 9]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 9 9 9] next:[2 2 10 10 10]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 10 9 9] next:[2 2 11 10 10]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 10 10 10] next:[2 2 11 11 11]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 11 10 10] next:[2 2 12 11 11]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 11 11 11] next:[2 2 12 12 12]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 12 11 11] next:[2 2 13 12 12]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 12 12 12] next:[2 2 13 13 13]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 13 12 12] next:[2 2 14 13 13]
[0:1] match:[51 51 1 1 1] next:[52 52 2 2 2]
[2:2] match:[0 0 13 13 13] next:[2 2 14 14 14]
